Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
Baskin Robbins - Ice Cream Desserts,4.4,"Ice Cream, Desserts, Beverages",₹200 for one,17 min,₹100 OFF,https://www.zomato.com/ncr/baskin-robbins-ice-cream-desserts-connaught-place-new-delhi/order
LunchBox - Meals and Thalis,4.3,"North Indian, Biryani, Mughlai",₹150 for one,29 min,20% OFF,https://www.zomato.com/ncr/lunchbox-meals-and-thalis-connaught-place-new-delhi/order
EatFit,4.3,"Healthy Food, Pizza, North Indian, Burger, Biryani, Chinese, Desserts, Beverages",₹200 for one,27 min,40% OFF,https://www.zomato.com/ncr/eatfit-1-paharganj-new-delhi/order
Great Indian Khichdi by EatFit,4.5,"North Indian, Healthy Food, South Indian, Fast Food, Mithai, Juices, Desserts, Beverages",₹150 for one,29 min,60% OFF,https://www.zomato.com/ncr/great-indian-khichdi-by-eatfit-paharganj-new-delhi/order
Grover Mithaivala,4.4,"Mithai, Street Food, Desserts",₹150 for one,25 min,No Offers,https://www.zomato.com/ncr/grover-mithaivala-rajinder-nagar-new-delhi/order
Rajinder Da Dhaba,4.4,"North Indian, Chinese, Mughlai",₹250 for one,52 min,No Offers,https://www.zomato.com/ncr/rajinder-da-dhaba-safdarjung-new-delhi/order
Changezi Chicken,3.9,"North Indian, Rolls, Kebab, Biryani",₹250 for one,31 min,₹125 OFF,https://www.zomato.com/ncr/changezi-chicken-karol-bagh-new-delhi/order
Samosa Party,4.2,"Street Food, North Indian, Mithai, Desserts, Tea, Beverages",₹150 for one,34 min,20% OFF,https://www.zomato.com/ncr/samosa-party-east-patel-nagar-new-delhi/order
Xero Degrees,4.2,"Pizza, Fast Food, Wraps, Momos, Burger, Sandwich, Desserts, Beverages",₹400 for one,24 min,No Offers,https://www.zomato.com/ncr/xero-degrees-3-connaught-place-new-delhi/order
Keventers - Milkshakes & Desserts,4.3,"Shake, Beverages, Desserts",₹150 for one,39 min,50% OFF,https://www.zomato.com/ncr/keventers-milkshakes-desserts-kamla-nagar-new-delhi/order
Ghee and Turmeric,4.4,"North Indian, Mughlai, Biryani",₹300 for one,23 min,40% OFF,https://www.zomato.com/ncr/ghee-and-turmeric-connaught-place-new-delhi/order
Salad Days,4.4,"Salad, Healthy Food, Sandwich, Juices",₹200 for one,20 min,No Offers,https://www.zomato.com/ncr/salad-days-gole-market-new-delhi/order
Dum Safar Biryani,4.4,"Biryani, North Indian, Kebab, BBQ, Beverages, Desserts",₹150 for one,51 min,30% OFF,https://www.zomato.com/ncr/dum-safar-biryani-south-extension-2-new-delhi/order
